Game result;Time;Score;Algorithm
Lose;14.4547119140625;-40;alpha-beta
Lose;16.307011127471924;-62;alpha-beta
Lose;5.52898907661438;-58;alpha-beta
Lose;9.465523481369019;-66;alpha-beta
Lose;47.56609225273132;-29;alpha-beta
Lose;9.120772361755371;-74;alpha-beta
Lose;22.335789442062378;-69;alpha-beta
Lose;5.502790212631226;-88;alpha-beta
Lose;11.467653036117554;-80;alpha-beta
Lose;3.7364635467529297;5;alpha-beta
Lose;4.257284164428711;-100;alpha-beta
Lose;0.8132190704345703;0;alpha-beta
Lose;1.293612003326416;0;alpha-beta
Lose;9.560800552368164;-87;alpha-beta
Lose;4.795909881591797;-84;alpha-beta
Lose;4.423039197921753;-91;alpha-beta
Lose;7.87497091293335;-79;alpha-beta
Lose;9.371753454208374;-85;alpha-beta
Lose;4.4334046840667725;-91;alpha-beta
Lose;16.313172578811646;-80;alpha-beta
Lose;2.5175483226776123;10;alpha-beta
Lose;9.364572286605835;-89;alpha-beta
Lose;10.33413028717041;-73;alpha-beta
Lose;4.263821363449097;5;alpha-beta
Lose;3.3031628131866455;5;alpha-beta
Lose;1.372631549835205;3;alpha-beta
Lose;0.881746768951416;2;alpha-beta
Lose;0.8734486103057861;2;alpha-beta
Lose;2.1020569801330566;2;alpha-beta
Lose;1.60910964012146;2;alpha-beta
Lose;7.357640743255615;31;alpha-beta
Lose;1.1576087474822998;2;alpha-beta
Lose;1.3899576663970947;2;alpha-beta
Lose;1.6748454570770264;2;alpha-beta
Lose;1.2943642139434814;2;alpha-beta
Lose;1.991492509841919;2;alpha-beta
Lose;3.6412997245788574;-92;alpha-beta
Lose;13.01357102394104;-19;alpha-beta
Lose;25.117175817489624;-40;alpha-beta
Lose;23.22886896133423;-7;alpha-beta
Lose;8.76410961151123;8;alpha-beta
Lose;7.491058111190796;-73;alpha-beta
Lose;2.6292519569396973;0;alpha-beta
Lose;11.736164808273315;21;alpha-beta
Lose;2.640813112258911;8;alpha-beta
Lose;1.6773242950439453;8;alpha-beta
Lose;1.518460750579834;8;alpha-beta
Lose;4.124176263809204;8;alpha-beta
Lose;2.415404796600342;8;alpha-beta
Lose;3.554819345474243;14;alpha-beta
Lose;15.860057592391968;8;alpha-beta
Lose;2.5913944244384766;-98;alpha-beta
Lose;4.68852686882019;11;alpha-beta
Lose;15.045864582061768;5;alpha-beta
Lose;3.1200380325317383;2;alpha-beta
Lose;14.572279214859009;-60;alpha-beta
Lose;11.576281785964966;13;alpha-beta
Lose;95.56672406196594;71;alpha-beta
