Game result,Time,Score,Algorithm
Win,1.9309062957763672,96,alpha-beta
Lose,0.3200042247772217,40,alpha-beta
Lose,1.705185890197754,95,alpha-beta
Lose,0.4114108085632324,41,alpha-beta
Lose,0.9562947750091553,83,alpha-beta
Lose,0.35849690437316895,25,alpha-beta
Lose,0.1470024585723877,19,alpha-beta
Lose,0.1829984188079834,13,alpha-beta
Win,2.1247196197509766,96,alpha-beta
Lose,0.756068229675293,67,alpha-beta
Lose,1.0223450660705566,80,alpha-beta
Lose,0.7055459022521973,55,alpha-beta
Lose,1.5030591487884521,93,alpha-beta
Lose,1.1098432540893555,72,alpha-beta
Lose,0.591850996017456,55,alpha-beta
Lose,0.4034907817840576,40,alpha-beta
Lose,0.11989378929138184,13,alpha-beta
Lose,0.16603398323059082,22,alpha-beta
Lose,0.5299675464630127,53,alpha-beta
Lose,1.6587231159210205,93,alpha-beta
Lose,0.4237995147705078,34,alpha-beta
Lose,0.358964204788208,32,alpha-beta
Win,1.3074979782104492,96,alpha-beta
Lose,1.6997661590576172,95,alpha-beta
Lose,0.4110076427459717,34,alpha-beta
Lose,0.16003179550170898,14,alpha-beta
Lose,0.7335481643676758,58,alpha-beta
Lose,0.24425601959228516,21,alpha-beta
Lose,0.4190382957458496,35,alpha-beta
Lose,0.20749855041503906,17,alpha-beta
Lose,0.45825934410095215,41,alpha-beta
Lose,0.5586724281311035,52,alpha-beta
Lose,0.6154770851135254,49,alpha-beta
Lose,0.4306485652923584,45,alpha-beta
Lose,0.2003765106201172,20,alpha-beta
Lose,0.5677742958068848,60,alpha-beta
Lose,0.15195798873901367,20,alpha-beta
Lose,0.46599411964416504,50,alpha-beta
Lose,0.26683712005615234,23,alpha-beta
Lose,0.36246156692504883,33,alpha-beta
Lose,0.5111215114593506,42,alpha-beta
Lose,0.5650045871734619,57,alpha-beta
Lose,0.23770928382873535,22,alpha-beta
Lose,1.8591387271881104,94,alpha-beta
Lose,1.641824722290039,88,alpha-beta
Lose,0.1809995174407959,18,alpha-beta
Lose,1.5638537406921387,86,alpha-beta
Lose,1.6306588649749756,89,alpha-beta
Lose,1.395996332168579,93,alpha-beta
Lose,2.8095543384552,95,alpha-beta
Lose,0.18851923942565918,17,alpha-beta
Lose,0.18431353569030762,19,alpha-beta
Lose,0.2002267837524414,11,alpha-beta
Win,1.2455267906188965,96,alpha-beta
Lose,0.17297148704528809,17,alpha-beta
Lose,0.8344283103942871,72,alpha-beta
Lose,0.8080148696899414,54,alpha-beta
Lose,1.7282507419586182,95,alpha-beta
Lose,0.4676244258880615,34,alpha-beta
Win,1.3630409240722656,96,alpha-beta
Lose,0.7210037708282471,56,alpha-beta
Lose,0.12900495529174805,12,alpha-beta
Lose,1.6785354614257812,91,alpha-beta
